model,pollutant,interaction,order_p,order_d,order_q,cv_r2_mean,cv_mae_mean,cv_rmse_mean,cv_mape_mean,cv_r2_std,cv_mae_std,cv_rmse_std,cv_mape_std,test_r2,test_mae,test_rmse,test_mape
ARMAX,Ozone,baseline,0,0,0,0.5817663693596093,0.006537817433529129,0.008407926721319762,21.728152440701994,0.07208212775365247,0.00022241907688811077,0.0002866981379469742,1.9917907290854617,0.46728310134716533,0.006769366742143627,0.008761757792566964,18.062210371090966
ARIMAX,Ozone,baseline,0,0,0,0.5817663693596093,0.006537817433529129,0.008407926721319762,21.728152440701994,0.07208212775365247,0.00022241907688811077,0.0002866981379469742,1.9917907290854617,0.46728310134716533,0.006769366742143627,0.008761757792566964,18.062210371090966
ARMAX,NO2,baseline,0,0,0,0.23969600715814643,8.733508958869809,11.165671559062295,28.101270197032836,0.06073969149365811,0.7046878050592731,1.0160651807067893,1.9981659936408656,0.20609899121512998,8.210392925796988,10.413507120241587,28.723819189411397
ARIMAX,NO2,baseline,0,0,0,0.23969600715814643,8.733508958869809,11.165671559062295,28.101270197032836,0.06073969149365811,0.7046878050592731,1.0160651807067893,1.9981659936408656,0.20609899121512998,8.210392925796988,10.413507120241587,28.723819189411397
ARMAX,PM2.5,baseline,1,0,0,0.18219012016752506,3.3679717219088303,4.364129600844361,44.95167218233373,0.08499614781461405,0.47250474072635495,0.5772859156334333,8.018896719312396,-0.008934660808631145,4.682200951776663,12.995737224296695,39.916532054114036
ARIMAX,PM2.5,baseline,1,0,0,0.18219012016752506,3.3679717219088303,4.364129600844361,44.95167218233373,0.08499614781461405,0.47250474072635495,0.5772859156334333,8.018896719312396,-0.008934660808631145,4.682200951776663,12.995737224296695,39.916532054114036
ARMAX,CO,baseline,2,0,3,0.021794156128864418,0.15379366106135248,0.19858605047098019,41.014488055292276,0.05374326943476863,0.03428683579939884,0.03247373389575267,15.545726679755012,0.10648522926382364,0.13191731580318763,0.19070134001583558,30.29453078383737
ARIMAX,CO,baseline,1,1,1,0.05211509677732131,0.14781865891538543,0.19590136264961372,37.961405527389346,0.1448757525456867,0.03673887721333349,0.039474307080770675,14.5254058668413,-0.9871974442124909,0.2463080027642411,0.2843959363493435,67.52091443858279
ARMAX,Ozone,int_traffic_humidity,0,0,2,0.5805844943079789,0.006528933240662482,0.008436083973118238,21.90663638039573,0.057994311247730385,0.00014881367591291518,0.00024476862496520933,1.718559971850226,0.4819434595269416,0.006694687239287604,0.008640355017289426,17.959173487717365
ARIMAX,Ozone,int_traffic_humidity,0,0,2,0.5805844943079789,0.006528933240662482,0.008436083973118238,21.90663638039573,0.057994311247730385,0.00014881367591291518,0.00024476862496520933,1.718559971850226,0.4819434595269416,0.006694687239287604,0.008640355017289426,17.959173487717365
