Date,Ozone,NO2,PM2.5,CO,traffic_daily_total,temperature_2m_max,wind_speed_10m_max_(km/h),precipitation_sum_(mm),relative_humidity_2m_max_(%),daylight_duration_(s),sunshine_duration_(s),rain_sum_(mm),snowfall_sum_(cm),wind_direction_10m_dominant_(°),et0_fao_evapotranspiration_(mm),shortwave_radiation_sum_(mj/m²),dew_point_2m_max,cloud_cover_max_(%),cloud_cover_mean_(%),pressure_msl_max_(hpa),surface_pressure_max_(hpa),vapour_pressure_deficit_max_(kpa),season_spring,season_summer,season_fall,is_weekend,is_covid
2012-01-22,0.025,30.9,13.7,0.5,12548,-1.5,15.8,0.0,87.0,35141.68,18436.68,0.0,0.0,25.0,0.6,7.14,-3.3,100.0,57.0,1034.5,1027.8,0.12,0,0,0,1,0
2012-01-23,0.022,40.8,12.9,0.7,42888,8.5,15.6,1.3,98.0,35254.08,187.04,1.3,0.0,97.0,0.29,2.19,8.1,100.0,99.0,1032.5,1025.9,0.09,0,0,0,0,0
2012-01-24,0.015,30.6,20.6,0.7,38133,10.4,15.5,2.3,99.0,35369.09,30601.04,2.3,0.0,236.0,1.09,9.64,8.4,100.0,72.0,1018.1,1011.8,0.51,0,0,0,0,0
2012-01-25,0.02,30.6,14.8,0.5,38739,6.5,13.5,0.0,84.0,35486.55,31904.85,0.0,0.0,289.0,1.25,11.07,-0.2,100.0,52.0,1026.9,1020.4,0.5,0,0,0,0,0
2012-01-26,0.007,29.3,15.8,0.6,38134,3.2,9.7,3.4,94.0,35606.29,772.89,3.1,0.35,39.0,0.38,2.64,1.6,100.0,99.0,1024.6,1018.1,0.21,0,0,0,0,0
2012-01-27,0.024,43.4,15.6,1.0,37198,13.8,22.7,14.1,100.0,35728.13,5852.07,14.1,0.0,197.0,0.46,2.35,13.4,100.0,92.0,1017.2,1010.8,0.31,0,0,0,1,0
2012-01-28,0.03,37.1,11.7,0.7,8764,7.4,22.3,0.0,86.0,35851.93,32225.1,0.0,0.0,262.0,1.57,10.8,0.5,98.0,30.0,1017.4,1011.0,0.49,0,0,0,1,0
2012-02-11,0.029,31.1,19.6,0.4,52397,3.9,11.8,3.1,90.0,37743.81,3600.0,0.2,2.1,329.0,0.81,6.03,-0.9,100.0,100.0,1015.7,1009.3,0.3,0,0,0,1,0
2012-02-12,0.032,22.3,8.4,0.3,58474,1.6,28.6,0.0,64.0,37891.76,30998.53,0.0,0.0,313.0,1.8,11.22,-4.6,100.0,83.0,1012.3,1005.8,0.41,0,0,0,1,0
2012-02-13,0.028,40.0,11.1,0.4,64133,5.5,21.4,0.0,60.0,38041.09,34717.07,0.0,0.0,263.0,1.99,14.43,-6.3,30.0,5.0,1017.6,1011.1,0.56,0,0,0,0,0
2012-02-14,0.024,48.4,16.3,0.6,65187,7.2,15.3,0.0,81.0,38191.63,30321.82,0.0,0.0,222.0,1.47,10.17,-0.1,100.0,83.0,1020.4,1014.0,0.58,0,0,0,0,0
2012-02-15,0.011,51.7,26.1,0.7,64643,7.1,8.4,0.9,97.0,38343.23,8100.27,0.9,0.0,316.0,0.65,4.68,2.9,100.0,95.0,1023.8,1017.4,0.28,0,0,0,0,0
2012-02-16,0.02,37.5,20.1,0.8,65040,5.6,9.7,2.1,93.0,38495.75,5.0,2.1,0.0,297.0,0.66,4.98,3.2,100.0,66.0,1026.3,1019.8,0.27,0,0,0,0,0
2012-02-17,0.031,37.3,13.2,0.5,70214,9.7,15.0,1.1,98.0,38649.05,28836.95,1.1,0.0,272.0,1.51,11.35,4.0,100.0,73.0,1019.9,1013.5,0.74,0,0,0,1,0
2012-02-18,0.033,31.2,11.2,0.5,62205,8.4,17.4,0.3,81.0,38802.97,35143.93,0.3,0.0,262.0,1.89,14.14,-1.9,100.0,16.0,1019.1,1012.6,0.67,0,0,0,1,0
2012-02-19,0.036,40.5,8.9,0.5,55360,6.0,14.0,1.1,87.0,38957.38,35362.82,1.1,0.0,340.0,1.42,12.97,1.8,100.0,45.0,1019.5,1013.1,0.52,0,0,0,1,0
2012-02-20,0.032,38.8,8.8,0.6,59474,6.8,18.4,0.0,83.0,39112.14,31177.49,0.0,0.0,356.0,2.02,14.33,-2.7,100.0,70.0,1024.5,1018.1,0.66,0,0,0,0,0
2012-02-21,0.04,44.4,10.8,0.7,65292,7.3,21.4,0.0,80.0,39267.13,32301.12,0.0,0.0,158.0,1.61,12.91,1.0,100.0,49.0,1028.5,1021.9,0.51,0,0,0,0,0
2012-02-22,0.031,42.4,12.4,0.6,66156,12.6,17.9,0.0,92.0,39422.2,35591.92,0.0,0.0,232.0,1.9,13.74,3.0,96.0,65.0,1015.1,1008.8,0.88,0,0,0,0,0
2012-02-23,0.035,43.6,11.7,0.6,67870,12.8,24.7,0.8,93.0,39577.22,35581.49,0.8,0.0,251.0,2.08,14.88,5.0,100.0,59.0,1005.3,999.1,0.88,0,0,0,0,0
2012-02-24,0.031,37.8,9.4,0.4,69202,7.6,19.4,8.3,95.0,39732.06,0.0,7.2,0.77,72.0,0.63,3.21,4.9,100.0,96.0,1008.4,1002.1,0.49,0,0,0,1,0
2012-02-25,0.039,15.3,8.3,0.4,10192,6.5,37.1,2.5,98.0,39886.84,35520.17,2.5,0.0,271.0,2.28,13.17,5.1,100.0,39.0,1008.1,1001.8,0.62,0,0,0,1,0
2012-03-23,0.041,48.6,12.8,0.6,19399,21.1,13.7,0.0,95.0,44260.03,40427.37,0.0,0.0,50.0,2.85,17.37,14.6,100.0,48.0,1019.5,1013.5,0.92,1,0,0,1,0
2012-03-24,0.041,47.4,6.5,0.5,19602,14.5,18.2,0.0,96.0,44424.3,23662.11,0.0,0.0,92.0,2.54,13.76,10.3,100.0,97.0,1019.4,1013.2,0.97,1,0,0,1,0
