Date,Ozone_mean,Ozone_max,Ozone_min,AQI_o3_mean,AQI_o3_max,AQI_o3_min,NO2_mean,NO2_max,NO2_min,AQI_no2_mean,AQI_no2_max,AQI_no2_min,PM2.5_mean,PM2.5_max,PM2.5_min,AQI_pm2.5_mean,AQI_pm2.5_max,AQI_pm2.5_min,CO_mean,CO_max,CO_min,AQI_co_mean,AQI_co_max,AQI_co_min,traffic_segments_observed,traffic_daily_total,traffic_daily_mean_segment,temp_c_mean
2018-01-20,0.03084615384615385,0.032,0.028,28.846153846153847,30,26,44.11538461538461,47.4,41.6,41.30769230769231,44,39,10.546153846153846,12.5,7.2,53.0,57,40,0.5692307692307692,0.6,0.5,6.6923076923076925,7,6,21,127955.0,6093.0952380952385,3.0
2018-01-21,0.03127272727272727,0.033,0.031,29.272727272727273,31,29,47.92727272727272,54.8,42.3,44.81818181818182,51,40,15.481818181818182,16.7,13.8,62.90909090909091,65,60,0.5636363636363636,0.6,0.5,6.636363636363637,7,6,21,111310.0,5300.476190476191,3.75
2018-01-22,0.019909090909090908,0.028,0.018,18.636363636363637,26,17,43.72727272727273,46.7,39.8,40.54545454545455,43,37,20.12727272727273,23.1,16.4,71.54545454545455,77,65,0.6636363636363636,0.7,0.6,7.636363636363637,8,7,21,131488.0,6261.333333333333,6.279166666666666
2018-01-23,0.02473076923076923,0.028,0.019,23.115384615384617,26,18,37.638461538461534,38.9,35.4,35.07692307692308,36,33,7.076923076923077,8.6,4.6,39.38461538461539,48,26,0.4307692307692308,0.5,0.4,5.3076923076923075,6,5,21,134593.0,6409.190476190476,8.370833333333334
2018-01-24,0.027136363636363636,0.029,0.026,25.136363636363637,27,24,21.118181818181817,24.7,16.9,19.363636363636363,23,15,5.2,8.3,1.7,28.636363636363637,46,9,0.29090909090909095,0.4,0.2,3.1818181818181817,5,2,21,135247.0,6440.333333333333,3.8166666666666664
2018-01-25,0.031863636363636365,0.033,0.03,29.863636363636363,31,28,24.863636363636363,29.7,19.7,22.727272727272727,27,18,5.245454545454546,8.2,1.5,29.181818181818183,46,8,0.30000000000000004,0.4,0.2,3.3636363636363638,5,2,21,136339.0,6492.333333333333,-2.6875
2018-01-26,0.01957692307692308,0.023,0.018,18.384615384615383,21,17,45.353846153846156,47.2,44.2,42.61538461538461,44,42,7.107692307692308,9.3,4.7,39.53846153846154,51,26,0.4307692307692308,0.5,0.4,5.3076923076923075,6,5,21,139425.0,6639.285714285715,-3.2583333333333333
2018-01-27,0.025428571428571432,0.027,0.025,23.428571428571427,25,23,35.40714285714286,38.3,31.1,33.214285714285715,36,29,8.028571428571428,9.2,6.3,44.42857142857143,51,35,0.34285714285714286,0.4,0.3,3.857142857142857,5,3,21,124268.0,5917.523809523809,2.9291666666666667
2018-01-28,0.014285714285714287,0.017,0.013,13.285714285714286,16,12,33.292857142857144,36.2,29.6,30.785714285714285,34,27,9.257142857142856,11.7,4.0,47.714285714285715,56,22,0.5,0.6,0.4,6.0,7,5,21,110149.0,5245.190476190476,8.875
2018-03-03,0.0358,0.037,0.032,33.0,34,30,11.1,13.2,9.3,9.9,12,8,3.7399999999999998,4.8,1.6,20.9,27,9,0.27,0.3,0.2,2.7,3,2,18,105360.0,5853.333333333333,4.3374999999999995
2018-03-04,0.0375,0.038,0.035,34.5,35,32,10.1625,12.3,8.3,9.125,11,8,2.8125,4.1,1.4,15.625,23,8,0.2625,0.3,0.2,2.625,3,2,18,96040.0,5335.555555555556,4.2375
2018-03-05,0.030199999999999998,0.031,0.027,28.2,29,25,26.439999999999998,27.4,25.8,24.4,25,24,3.5,4.8,2.1,19.4,27,12,0.3,0.4,0.2,3.3,5,2,18,101434.0,5635.222222222223,1.7541666666666667
2018-03-06,0.0385,0.041,0.03,35.666666666666664,38,28,40.1,44.4,37.8,37.666666666666664,42,35,4.083333333333333,5.0,3.0,22.833333333333332,28,17,0.3666666666666667,0.5,0.3,4.0,6,3,18,107315.0,5961.944444444444,2.0500000000000003
2018-03-07,0.034300000000000004,0.035,0.029,31.4,32,27,24.580000000000002,31.1,16.7,22.6,29,15,2.23,3.9,0.8,12.4,22,4,0.26,0.3,0.2,2.6,3,2,6,34886.0,5814.333333333333,1.6624999999999999
2018-03-08,0.028700000000000003,0.029,0.026,26.7,27,24,31.78,36.7,28.5,29.2,34,26,4.9399999999999995,8.1,4.1,27.2,45,23,0.36,0.4,0.3,4.2,5,3,6,44824.0,7470.666666666667,1.3583333333333334
2018-03-09,0.030333333333333334,0.031,0.028,28.333333333333332,29,26,23.433333333333334,29.0,20.3,22.0,27,19,5.7749999999999995,7.6,4.7,32.166666666666664,42,26,0.3,0.4,0.2,3.3333333333333335,5,2,18,103497.0,5749.833333333333,0.6541666666666667
