latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,0,GMT,GMT

time,temperature_2m_max (°C),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),shortwave_radiation_sum (MJ/m²),dew_point_2m_max (°C),cloud_cover_max (%),cloud_cover_mean (%),pressure_msl_max (hPa),relative_humidity_2m_max (%),surface_pressure_max (hPa),vapour_pressure_deficit_max (kPa),wet_bulb_temperature_2m_max (°C),temperature_2m_mean (°C)
2012-01-01,9.9,33509.77,28949.05,0.00,0.00,0.00,0.0,15.9,30.6,246,0.94,8.26,4.9,87,18,1020.0,98,1013.6,0.37,6.9,5.2
2012-01-02,7.9,33553.93,28074.47,2.90,2.90,0.00,3.0,25.2,48.6,255,1.26,7.43,6.6,100,47,1009.4,92,1003.2,0.51,7.0,4.3
2012-01-03,1.2,33601.97,29156.95,0.00,0.00,0.00,0.0,24.5,49.3,300,1.36,8.79,-7.7,91,28,1018.1,66,1011.5,0.35,-2.5,-1.7
2012-01-04,-2.8,33653.79,27201.75,0.00,0.00,0.00,0.0,23.3,45.7,297,1.28,8.72,-16.9,100,26,1024.1,49,1017.4,0.35,-6.4,-6.9
2012-01-05,4.2,33709.27,28895.14,0.00,0.00,0.00,0.0,19.1,36.7,255,1.26,8.82,-6.0,100,69,1017.8,66,1011.3,0.46,-0.2,-1.1
2012-01-06,9.6,33768.33,28892.76,0.20,0.10,0.07,1.0,13.6,24.8,219,1.11,8.82,1.4,96,40,1015.4,84,1008.9,0.56,5.3,1.5
2012-01-07,14.2,33830.84,29287.92,0.00,0.00,0.00,0.0,13.4,24.5,241,1.29,9.19,5.0,26,5,1009.7,92,1003.5,0.77,9.0,5.2
2012-01-08,8.2,33896.72,29460.84,0.00,0.00,0.00,0.0,14.7,28.1,301,1.15,8.60,4.4,96,50,1025.3,84,1018.8,0.55,6.0,3.5
2012-01-09,3.5,33965.85,29579.56,0.00,0.00,0.00,0.0,10.0,18.0,284,0.92,8.62,-4.1,100,54,1027.5,75,1021.0,0.42,-0.6,-0.2
2012-01-10,7.3,34038.12,29386.75,0.00,0.00,0.00,0.0,15.8,29.2,250,1.06,8.56,-1.3,97,63,1020.3,88,1013.8,0.48,3.0,1.6
2012-01-11,7.0,34113.46,26906.25,0.00,0.00,0.00,0.0,10.2,19.1,255,1.05,9.27,-0.5,100,23,1019.5,89,1013.1,0.46,3.0,1.8
2012-01-12,9.1,34191.73,0.00,23.70,23.70,0.00,14.0,30.3,63.4,65,0.32,1.45,8.9,100,100,1015.9,99,1009.6,0.22,8.9,6.8
2012-01-13,7.9,34272.84,24792.91,2.40,2.40,0.00,6.0,34.6,66.6,237,1.08,7.74,6.8,100,76,1005.6,98,999.2,0.44,7.1,4.1
2012-01-14,0.7,34356.68,24831.19,0.00,0.00,0.00,0.0,22.5,52.2,263,1.51,8.10,-9.9,100,59,1017.0,56,1010.5,0.36,-3.2,-1.4
2012-01-15,-1.8,34443.16,30565.65,0.00,0.00,0.00,0.0,20.6,44.6,323,1.22,10.55,-9.8,89,20,1032.6,61,1025.9,0.33,-5.0,-5.4
2012-01-16,0.6,34532.36,29541.18,0.00,0.00,0.00,0.0,18.4,35.6,278,1.18,9.85,-7.3,98,32,1037.1,62,1030.3,0.37,-3.3,-5.4
2012-01-17,6.6,34625.26,0.00,6.60,4.70,1.40,14.0,17.1,40.7,210,0.50,2.60,5.6,100,97,1026.9,94,1020.4,0.22,5.9,2.5
2012-01-18,9.7,34721.87,30888.67,0.20,0.20,0.00,1.0,26.8,53.3,282,1.47,9.84,8.0,98,23,1019.6,92,1013.1,0.47,8.6,4.3
2012-01-19,2.1,34822.00,27542.43,0.00,0.00,0.00,0.0,15.3,28.4,61,1.15,9.15,-7.4,100,39,1025.3,59,1018.7,0.40,-2.1,-3.2
2012-01-20,0.1,34925.47,31146.68,0.00,0.00,0.07,0.0,19.8,37.4,289,1.18,11.03,-4.9,100,49,1024.9,75,1018.3,0.38,-2.4,-1.4
