year,Date,Ozone,AQI_o3,NO2,AQI_no2,PM2.5,AQI_pm2.5,CO,AQI_co,traffic_segments_observed,traffic_daily_total,traffic_daily_max,traffic_daily_mean_segment,temperature_2m_max,daylight_duration_(s),sunshine_duration_(s),precipitation_sum_(mm),rain_sum_(mm),snowfall_sum_(cm),precipitation_hours_(h),wind_speed_10m_max_(km/h),wind_gusts_10m_max_(km/h),wind_direction_10m_dominant_(°),et0_fao_evapotranspiration_(mm),shortwave_radiation_sum_(mj/m²),dew_point_2m_max,cloud_cover_max_(%),cloud_cover_mean_(%),pressure_msl_max_(hpa),relative_humidity_2m_max_(%),surface_pressure_max_(hpa),vapour_pressure_deficit_max_(kpa),wet_bulb_temperature_2m_max,temperature_2m_mean
2012,2012-01-22,0.025,23,30.9,28,13.7,60,0.5,6,158,12548,232,79.41772151898734,-1.5,35141.68,18436.68,0.0,0.0,0.0,0.0,15.8,29.9,25.0,0.6,7.14,-3.3,100.0,57.0,1034.5,87.0,1027.8,0.12,-2.6,-5.5
2012,2012-01-23,0.022,20,40.8,38,12.9,58,0.7,8,384,42888,257,111.6875,8.5,35254.08,187.04,1.3,1.3,0.0,3.0,15.6,27.0,97.0,0.29,2.19,8.1,100.0,99.0,1032.5,98.0,1025.9,0.09,8.2,2.9
2012,2012-01-24,0.015,14,30.6,28,20.6,72,0.7,8,384,38133,241,99.3046875,10.4,35369.09,30601.04,2.3,2.3,0.0,5.0,15.5,52.2,236.0,1.09,9.64,8.4,100.0,72.0,1018.1,99.0,1011.8,0.51,8.4,7.3
2012,2012-01-25,0.02,19,30.6,28,14.8,62,0.5,6,384,38739,296,100.8828125,6.5,35486.55,31904.85,0.0,0.0,0.0,0.0,13.5,26.3,289.0,1.25,11.07,-0.2,100.0,52.0,1026.9,84.0,1020.4,0.5,2.1,2.5
2012,2012-01-26,0.007,6,29.3,27,15.8,63,0.6,7,384,38134,267,99.30729166666667,3.2,35606.29,772.89,3.4,3.1,0.35,7.0,9.7,17.3,39.0,0.38,2.64,1.6,100.0,99.0,1024.6,94.0,1018.1,0.21,1.9,1.3
2012,2012-01-27,0.024,22,43.4,41,15.6,63,1.0,11,384,37198,234,96.86979166666667,13.8,35728.13,5852.07,14.1,14.1,0.0,18.0,22.7,59.8,197.0,0.46,2.35,13.4,100.0,92.0,1017.2,100.0,1010.8,0.31,13.5,8.6
2012,2012-01-28,0.03,28,37.1,35,11.7,56,0.7,8,145,8764,236,60.44137931034483,7.4,35851.93,32225.1,0.0,0.0,0.0,0.0,22.3,51.1,262.0,1.57,10.8,0.5,98.0,30.0,1017.4,86.0,1011.0,0.49,3.2,3.9
2012,2012-02-11,0.029,27,31.1,29,19.6,71,0.4,5,218,52397,450,240.35321100917432,3.9,37743.81,3600.0,3.1,0.2,2.1,11.0,11.8,18.7,329.0,0.81,6.03,-0.9,100.0,100.0,1015.7,90.0,1009.3,0.3,0.7,1.8
2012,2012-02-12,0.032,30,22.3,21,8.4,47,0.3,3,384,58474,438,152.27604166666666,1.6,37891.76,30998.53,0.0,0.0,0.0,0.0,28.6,56.2,313.0,1.8,11.22,-4.6,100.0,83.0,1012.3,64.0,1005.8,0.41,-1.3,-2.1
2012,2012-02-13,0.028,26,40.0,38,11.1,55,0.4,5,384,64133,611,167.01302083333334,5.5,38041.09,34717.07,0.0,0.0,0.0,0.0,21.4,42.1,263.0,1.99,14.43,-6.3,30.0,5.0,1017.6,60.0,1011.1,0.56,0.5,-0.6
2012,2012-02-14,0.024,22,48.4,45,16.3,64,0.6,7,384,65187,626,169.7578125,7.2,38191.63,30321.82,0.0,0.0,0.0,0.0,15.3,32.0,222.0,1.47,10.17,-0.1,100.0,83.0,1020.4,81.0,1014.0,0.58,2.4,2.0
2012,2012-02-15,0.011,10,51.7,48,26.1,83,0.7,8,384,64643,592,168.34114583333334,7.1,38343.23,8100.27,0.9,0.9,0.0,4.0,8.4,22.7,316.0,0.65,4.68,2.9,100.0,95.0,1023.8,97.0,1017.4,0.28,4.5,3.8
2012,2012-02-16,0.02,19,37.5,35,20.1,71,0.8,9,384,65040,627,169.375,5.6,38495.75,5.0,2.1,2.1,0.0,6.0,9.7,20.9,297.0,0.66,4.98,3.2,100.0,66.0,1026.3,93.0,1019.8,0.27,3.7,2.2
2012,2012-02-17,0.031,29,37.3,35,13.2,59,0.5,6,384,70214,611,182.84895833333334,9.7,38649.05,28836.95,1.1,1.1,0.0,4.0,15.0,32.0,272.0,1.51,11.35,4.0,100.0,73.0,1019.9,98.0,1013.5,0.74,4.6,5.6
2012,2012-02-18,0.033,31,31.2,29,11.2,55,0.5,6,384,62205,490,161.9921875,8.4,38802.97,35143.93,0.3,0.3,0.0,2.0,17.4,32.0,262.0,1.89,14.14,-1.9,100.0,16.0,1019.1,81.0,1012.6,0.67,3.0,3.0
2012,2012-02-19,0.036,33,40.5,38,8.9,49,0.5,6,384,55360,457,144.16666666666666,6.0,38957.38,35362.82,1.1,1.1,0.0,2.0,14.0,28.8,340.0,1.42,12.97,1.8,100.0,45.0,1019.5,87.0,1013.1,0.52,2.5,2.2
2012,2012-02-20,0.032,30,38.8,36,8.8,49,0.6,7,384,59474,432,154.88020833333334,6.8,39112.14,31177.49,0.0,0.0,0.0,0.0,18.4,36.0,356.0,2.02,14.33,-2.7,100.0,70.0,1024.5,83.0,1018.1,0.66,1.1,1.9
2012,2012-02-21,0.04,37,44.4,42,10.8,54,0.7,8,384,65292,436,170.03125,7.3,39267.13,32301.12,0.0,0.0,0.0,0.0,21.4,40.3,158.0,1.61,12.91,1.0,100.0,49.0,1028.5,80.0,1021.9,0.51,3.2,1.8
2012,2012-02-22,0.031,29,42.4,40,12.4,57,0.6,7,384,66156,416,172.28125,12.6,39422.2,35591.92,0.0,0.0,0.0,0.0,17.9,36.4,232.0,1.9,13.74,3.0,96.0,65.0,1015.1,92.0,1008.8,0.88,6.4,6.5
2012,2012-02-23,0.035,32,43.6,41,11.7,56,0.6,7,384,67870,489,176.74479166666666,12.8,39577.22,35581.49,0.8,0.8,0.0,4.0,24.7,45.7,251.0,2.08,14.88,5.0,100.0,59.0,1005.3,93.0,999.1,0.88,7.1,8.1
2012,2012-02-24,0.031,29,37.8,35,9.4,52,0.4,5,384,69202,436,180.21354166666666,7.6,39732.06,0.0,8.3,7.2,0.77,10.0,19.4,41.0,72.0,0.63,3.21,4.9,100.0,96.0,1008.4,95.0,1002.1,0.49,5.1,4.2
2012,2012-02-25,0.039,36,15.3,14,8.3,46,0.4,5,146,10192,168,69.8082191780822,6.5,39886.84,35520.17,2.5,2.5,0.0,4.0,37.1,72.0,271.0,2.28,13.17,5.1,100.0,39.0,1008.1,98.0,1001.8,0.62,5.4,4.2
2012,2012-03-23,0.041,38,48.6,45,12.8,58,0.6,7,205,19399,292,94.62926829268292,21.1,44260.03,40427.37,0.0,0.0,0.0,0.0,13.7,26.3,50.0,2.85,17.37,14.6,100.0,48.0,1019.5,95.0,1013.5,0.92,16.4,16.1
2012,2012-03-24,0.041,38,47.4,44,6.5,36,0.5,6,340,19602,233,57.65294117647059,14.5,44424.3,23662.11,0.0,0.0,0.0,0.0,18.2,40.7,92.0,2.54,13.76,10.3,100.0,97.0,1019.4,96.0,1013.2,0.97,11.4,12.0
2012,2012-03-25,0.039,36,43.5,41,10.6,54,0.4,5,288,11076,108,38.458333333333336,10.1,44588.58,1333.99,0.7,0.7,0.0,4.0,16.5,31.3,48.0,1.11,4.41,6.1,100.0,99.0,1016.4,85.0,1010.2,0.47,7.6,8.8
2012,2012-03-26,0.04,37,47.7,44,8.5,47,0.6,7,288,13001,117,45.142361111111114,10.5,44752.76,41611.7,0.0,0.0,0.0,0.0,30.9,61.6,324.0,2.89,20.51,6.8,99.0,36.0,1015.4,94.0,1009.1,0.88,7.6,8.6
2012,2012-03-27,0.041,38,49.0,46,7.3,41,0.4,5,288,12143,106,42.16319444444444,10.4,44916.73,41774.52,0.0,0.0,0.0,0.0,26.4,52.2,326.0,3.8,23.53,-7.7,53.0,3.0,1026.0,39.0,1019.6,1.01,2.5,3.7
2012,2012-03-28,0.028,26,45.7,42,13.5,59,0.5,6,288,12960,124,45.0,20.0,45080.41,41936.79,1.3,1.3,0.0,3.0,15.7,52.2,220.0,3.24,18.56,9.0,100.0,38.0,1023.5,75.0,1017.1,1.27,13.3,9.2
2012,2012-03-29,0.033,31,20.5,19,4.9,27,0.4,5,288,13549,110,47.045138888888886,16.7,45243.67,32337.43,1.3,1.3,0.0,3.0,24.5,48.6,313.0,2.69,14.1,11.1,100.0,57.0,1013.2,88.0,1007.0,0.79,12.2,11.4
2012,2012-03-30,0.041,38,28.4,26,6.2,34,0.4,5,288,14523,112,50.427083333333336,12.3,45406.41,42259.22,0.0,0.0,0.0,0.0,18.1,35.3,309.0,3.5,23.38,-0.5,77.0,21.0,1019.1,70.0,1012.8,0.99,5.1,6.9
2012,2012-03-31,0.041,38,19.2,18,9.2,51,0.3,3,288,12174,92,42.270833333333336,7.5,45568.53,0.0,8.2,8.2,0.0,15.0,17.0,40.0,78.0,0.7,2.94,4.3,100.0,98.0,1015.8,94.0,1009.5,0.4,4.8,5.7
2012,2012-04-01,0.036,33,48.1,45,11.3,55,0.6,7,288,10897,87,37.83680555555556,11.1,45729.91,20380.3,1.4,1.4,0.0,3.0,12.1,23.4,245.0,1.79,12.26,4.9,100.0,81.0,1013.5,93.0,1007.2,0.59,6.8,6.8
2012,2012-04-02,0.042,39,28.7,26,4.1,23,0.5,6,186,7715,147,41.47849462365591,13.3,45890.46,42736.1,3.8,3.8,0.0,7.0,27.5,55.4,339.0,3.02,20.93,6.5,100.0,55.0,1009.0,96.0,1002.8,1.15,6.7,8.1
2012,2012-04-03,0.046,43,36.3,34,6.0,33,0.3,3,104,24556,354,236.1153846153846,16.6,46050.06,42892.83,0.0,0.0,0.0,0.0,20.3,41.0,313.0,4.26,24.42,-1.9,12.0,1.0,1014.4,63.0,1008.0,1.47,7.4,8.5
2012,2012-04-04,0.048,44,58.6,55,6.9,38,0.3,3,192,43532,513,226.72916666666666,18.9,46208.59,43048.28,0.0,0.0,0.0,0.0,21.2,38.9,310.0,4.23,23.69,3.8,94.0,35.0,1009.3,80.0,1003.1,1.57,9.8,11.9
2012,2012-04-05,0.035,32,30.5,28,5.4,30,0.4,5,192,45285,479,235.859375,13.8,46366.14,43140.11,0.0,0.0,0.0,0.0,22.2,46.8,331.0,3.85,21.58,-0.9,89.0,25.0,1011.3,69.0,1005.1,1.12,6.3,9.1
2012,2012-04-06,0.045,42,37.2,35,4.1,23,0.4,5,192,41757,397,217.484375,13.8,46523.84,43200.0,0.0,0.0,0.0,0.0,21.0,39.2,343.0,3.77,23.05,-0.5,70.0,18.0,1016.1,72.0,1009.8,1.18,5.6,7.8
2012,2012-04-07,0.047,44,22.1,21,6.2,34,0.2,2,192,36193,426,188.50520833333334,14.8,46681.77,43200.0,0.0,0.0,0.0,0.0,20.1,40.0,324.0,4.37,24.69,-3.9,30.0,2.0,1019.2,62.0,1012.8,1.31,5.9,8.5
2012,2012-04-08,0.049,45,23.1,22,5.0,28,0.2,2,192,29061,372,151.359375,18.1,46839.84,43202.97,0.0,0.0,0.0,0.0,22.9,43.9,302.0,4.52,24.07,-1.8,39.0,9.0,1017.4,59.0,1011.1,1.58,8.5,10.3
2012,2012-04-09,0.048,44,23.9,22,10.5,54,0.2,2,192,38516,383,200.60416666666666,16.3,46997.94,39788.36,0.0,0.0,0.0,0.0,34.0,65.2,277.0,4.7,20.2,1.7,100.0,40.0,1007.6,55.0,1001.4,1.49,6.7,11.9
2012,2012-04-10,0.046,43,44.5,42,10.4,53,0.3,3,192,39601,427,206.25520833333334,14.8,47155.99,43289.57,0.0,0.0,0.0,0.0,22.4,42.8,263.0,4.11,21.76,2.3,86.0,31.0,1006.8,70.0,1000.7,1.22,7.3,10.6
2012,2012-04-11,0.032,30,24.4,23,7.4,41,0.4,5,192,39704,440,206.79166666666666,11.6,47313.86,41104.8,0.1,0.1,0.0,1.0,15.2,30.2,314.0,3.17,20.31,0.4,98.0,48.0,1011.4,78.0,1005.2,0.89,5.1,8.0
2012,2012-04-12,0.036,33,26.7,25,4.5,25,0.4,5,137,29913,386,218.34306569343065,14.9,47471.47,43200.0,1.0,1.0,0.0,4.0,17.5,38.2,334.0,3.5,22.76,3.2,99.0,71.0,1017.1,83.0,1010.9,1.09,7.9,9.2
2012,2012-04-13,0.045,42,55.5,52,6.5,36,0.4,5,276,39352,344,142.57971014492753,17.3,47628.69,43506.25,0.0,0.0,0.0,0.0,11.9,24.8,326.0,3.96,24.45,1.4,97.0,24.0,1023.4,78.0,1017.2,1.52,8.0,10.2
2012,2012-04-14,0.049,45,50.0,47,11.5,55,0.6,7,248,28858,361,116.36290322580645,21.1,47785.43,43484.45,0.0,0.0,0.0,0.0,14.2,27.4,258.0,4.56,24.74,2.7,100.0,51.0,1023.6,82.0,1017.3,1.91,10.9,12.7
2012,2012-04-15,0.054,50,67.9,65,28.4,87,0.6,7,192,26516,348,138.10416666666666,24.0,47941.56,36289.14,0.0,0.0,0.0,0.0,19.8,36.0,248.0,4.04,16.95,12.7,100.0,95.0,1017.5,68.0,1011.4,1.55,16.8,17.6
2012,2012-04-16,0.052,48,63.4,61,28.3,87,0.6,7,192,24002,294,125.01041666666667,28.9,48096.99,43279.03,0.0,0.0,0.0,0.0,15.8,28.1,201.0,5.26,24.71,14.4,99.0,78.0,1017.0,85.0,1011.0,2.43,19.3,20.9
2012,2012-04-17,0.043,40,30.5,28,9.5,52,0.6,7,192,20564,235,107.10416666666667,25.3,48251.59,43921.96,0.0,0.0,0.0,0.0,19.3,34.6,294.0,5.8,25.65,14.1,66.0,12.0,1020.2,70.0,1014.2,2.56,17.0,21.3
2012,2012-04-18,0.036,33,41.2,39,9.8,52,0.5,6,192,17344,211,90.33333333333333,20.5,48405.25,23399.05,0.0,0.0,0.0,0.0,17.6,34.6,349.0,3.74,14.38,2.5,100.0,83.0,1025.3,48.0,1019.0,1.75,10.9,14.3
2012,2012-04-19,0.039,36,45.9,42,7.6,42,0.6,7,192,20942,277,109.07291666666667,19.9,48557.84,36166.68,0.4,0.4,0.0,3.0,15.8,36.4,193.0,3.8,21.09,7.7,100.0,67.0,1021.1,76.0,1014.9,1.39,12.3,13.8
2012,2012-04-20,0.047,44,61.2,58,8.3,46,0.8,9,191,22699,276,118.84293193717278,19.8,48709.25,37033.83,0.0,0.0,0.0,0.0,17.5,33.8,170.0,3.47,19.82,9.8,99.0,37.0,1017.8,91.0,1011.6,1.25,13.8,13.5
2012,2012-04-21,0.042,39,23.8,22,8.8,49,0.6,7,311,35327,318,113.59163987138264,23.1,48859.35,43334.55,0.0,0.0,0.0,0.0,19.0,38.2,158.0,3.67,20.88,14.1,100.0,72.0,1012.6,99.0,1006.5,1.4,16.4,16.4
2012,2012-04-22,0.026,24,13.4,12,0.0,0,0.5,6,384,20428,169,53.197916666666664,17.2,49008.02,263.33,15.9,15.9,0.0,10.0,23.1,43.9,8.0,1.05,5.58,13.6,100.0,98.0,1009.1,97.0,1003.0,0.44,14.8,12.2
2012,2012-04-23,0.025,23,23.8,22,5.5,31,0.6,7,269,17088,217,63.52416356877323,12.4,49155.11,0.0,24.0,24.0,0.0,11.0,32.3,61.2,85.0,1.5,9.04,12.3,100.0,99.0,1001.2,100.0,995.0,0.49,12.3,10.5
2012,2012-04-24,0.046,43,25.0,24,15.0,62,0.6,7,65,2065,143,31.76923076923077,14.1,49300.52,36351.76,0.0,0.0,0.0,0.0,27.8,59.0,230.0,3.34,17.51,1.7,100.0,74.0,1002.5,77.0,996.4,1.13,7.1,8.9
2012,2012-04-27,0.03,28,15.3,14,5.2,29,0.3,3,12,107,26,8.916666666666666,13.6,49730.2,45178.02,0.4,0.4,0.0,2.0,26.5,54.4,299.0,3.39,23.89,12.0,100.0,68.0,1017.6,96.0,1011.3,0.87,12.4,10.5
2012,2012-04-28,0.045,42,23.7,22,6.5,36,0.3,3,113,13515,169,119.60176991150442,14.7,49872.32,41139.92,0.0,0.0,0.0,0.0,18.3,47.2,288.0,4.07,26.09,-1.0,100.0,48.0,1024.6,68.0,1018.2,1.17,6.9,7.8
2012,2012-04-29,0.056,54,28.3,26,7.3,41,0.3,3,192,13398,156,69.78125,16.6,50013.75,45328.48,0.0,0.0,0.0,0.0,21.1,40.3,295.0,4.83,28.38,1.1,100.0,26.0,1023.1,75.0,1016.8,1.45,7.3,10.9
2012,2012-04-30,0.047,44,28.1,26,7.4,41,0.2,2,192,15923,176,82.93229166666667,15.1,50154.37,46712.5,0.0,0.0,0.0,0.0,16.0,33.8,12.0,4.53,27.42,2.1,100.0,37.0,1027.9,76.0,1021.6,1.12,8.0,9.8
